frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,offscreenMaxError,offscreenTemporalError,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
18,gpu-clustered,11.6256,0,0.340375,0.053416,0.083709,0.20325,0.007791,0.007791,vulkan-query-pool,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,0.00018725,37.2758,0.930204,0.968627,5.77273e-05,135,72,0,629496,58436,14.5975,136,0,0,0,vulkan_gpu_measurements
19,gpu-clustered,6.07167,0,0.244,0.094917,0.1075,0.041583,0.00575,0.00575,vulkan-query-pool,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000185591,37.3144,0.929999,0.968627,1.65893e-06,135,72,0,629496,0,0,152,0,0,0,vulkan_gpu_measurements
20,gpu-clustered,7.14412,0,0.455541,0.090166,0.09225,0.273125,0.012625,0.012625,vulkan-query-pool,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000186141,37.3016,0.928887,0.988235,5.50024e-07,135,72,0,629496,0,0,152,0,0,0,vulkan_gpu_measurements
21,gpu-clustered,8.56821,0,0.288875,0.068292,0.166083,0.0545,0.012583,0.012583,vulkan-query-pool,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000185579,37.3147,0.929051,0.988235,5.62706e-07,135,72,0,629496,0,0,152,0,0,0,vulkan_gpu_measurements
22,gpu-clustered,8.3175,0,0.296792,0.080542,0.162125,0.054125,0.012083,0.012083,vulkan-query-pool,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000184731,37.3346,0.928302,0.988235,8.47631e-07,135,72,0,629496,0,0,152,0,0,0,vulkan_gpu_measurements
23,gpu-clustered,8.32638,0,0.291667,0.068167,0.169792,0.053708,0.00825,0.00825,vulkan-query-pool,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000180082,37.4453,0.930064,0.956863,4.64894e-06,135,72,8,629496,0,0,278,0,8,0,vulkan_gpu_measurements
24,gpu-clustered,11.739,0,0.360041,0.053666,0.246,0.060375,0.004084,0.004084,vulkan-query-pool,100,80,80,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000150767,38.2169,0.940501,0.898039,2.93148e-05,135,80,0,694504,65008,14.8983,152,0,0,0,vulkan_gpu_measurements
25,gpu-clustered,5.88929,0,0.568958,0.043083,0.410292,0.115583,0.004041,0.004041,vulkan-query-pool,100,80,80,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000161743,37.9117,0.935797,0.988235,1.09761e-05,135,80,0,694504,0,0,168,0,0,0,vulkan_gpu_measurements
26,gpu-clustered,7.06033,0,0.293584,0.083167,0.154458,0.055959,0.005125,0.005125,vulkan-query-pool,100,80,80,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000165147,37.8213,0.936389,0.988235,3.40329e-06,135,80,0,694504,0,0,168,0,0,0,vulkan_gpu_measurements
27,gpu-clustered,8.42533,0,0.294916,0.06525,0.173875,0.055791,0.004667,0.004667,vulkan-query-pool,100,80,80,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000171298,37.6625,0.934993,0.988235,6.15104e-06,135,80,0,694504,0,0,168,0,0,0,vulkan_gpu_measurements
28,gpu-clustered,8.33687,0,0.308083,0.079917,0.171291,0.056875,0.005542,0.005542,vulkan-query-pool,100,80,80,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000178482,37.4841,0.933209,0.988235,7.18416e-06,135,80,0,694504,0,0,168,0,0,0,vulkan_gpu_measurements
29,gpu-clustered,8.37292,0,0.296625,0.086708,0.154333,0.055584,0.006041,0.006041,vulkan-query-pool,100,80,80,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000174312,37.5867,0.936622,0.988235,4.16989e-06,135,80,8,694504,0,0,278,0,8,0,vulkan_gpu_measurements
30,gpu-clustered,12.8227,0,0.354792,0.10225,0.1105,0.142042,0.00425,0.00425,vulkan-query-pool,100,88,88,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000138998,38.5699,0.949077,0.960784,3.53143e-05,135,88,0,804456,109952,14.8126,168,0,0,0,vulkan_gpu_measurements
31,gpu-clustered,11.7379,0,0.461208,0.078875,0.111,0.271333,0.005666,0.005666,vulkan-query-pool,100,88,88,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000124398,39.0519,0.951553,0.917647,1.45999e-05,135,88,0,804456,0,0,184,0,0,0,vulkan_gpu_measurements
32,gpu-clustered,5.48517,0,0.338083,0.097875,0.183041,0.057167,0.00425,0.00425,vulkan-query-pool,100,88,88,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000117221,39.3099,0.957099,0.588235,7.17648e-06,135,88,0,804456,0,0,184,0,0,0,vulkan_gpu_measurements
33,gpu-clustered,5.29579,0,0.435375,0.052709,0.256958,0.125708,0.004292,0.004292,vulkan-query-pool,100,88,88,3456,128,442368,0,0,0,0,0,0,0,0,0,0.00011491,39.3964,0.95985,0.627451,2.31112e-06,135,88,0,804456,0,0,184,0,0,0,vulkan_gpu_measurements
34,gpu-clustered,6.62758,0,0.296834,0.07675,0.165334,0.05475,0.006708,0.006708,vulkan-query-pool,100,88,88,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000113137,39.464,0.960024,0.403922,1.77353e-06,135,88,0,804456,0,0,184,0,0,0,vulkan_gpu_measurements
35,gpu-clustered,7.7385,0,0.299334,0.065125,0.18025,0.053959,0.004959,0.004959,vulkan-query-pool,100,88,88,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000116139,39.3502,0.958393,0.933333,3.00232e-06,135,88,8,804456,0,0,278,0,8,0,vulkan_gpu_measurements
36,gpu-clustered,11.9201,0,0.452875,0.052625,0.237584,0.162666,0.007958,0.007958,vulkan-query-pool,100,96,96,3456,128,442368,0,0,0,0,0,0,0,0,0,7.27239e-05,41.3832,0.973687,0.352941,4.34151e-05,135,96,0,917004,112548,14.4005,184,0,0,0,vulkan_gpu_measurements
37,gpu-clustered,5.95421,0,0.231416,0.077291,0.109042,0.045083,0.004209,0.004209,vulkan-query-pool,100,96,96,3456,128,442368,0,0,0,0,0,0,0,0,0,7.2535e-05,41.3945,0.973888,0.352941,1.88852e-07,135,96,0,917004,0,0,200,0,0,0,vulkan_gpu_measurements
38,gpu-clustered,7.13871,0,0.294542,0.08275,0.157084,0.054708,0.00525,0.00525,vulkan-query-pool,100,96,96,3456,128,442368,0,0,0,0,0,0,0,0,0,7.31653e-05,41.3569,0.974028,0.380392,6.30255e-07,135,96,0,917004,0,0,200,0,0,0,vulkan_gpu_measurements
39,gpu-clustered,8.12588,0,0.292958,0.069791,0.169792,0.053375,0.005,0.005,vulkan-query-pool,100,96,96,3456,128,442368,0,0,0,0,0,0,0,0,0,7.66817e-05,41.1531,0.972605,0.615686,3.51641e-06,135,96,0,917004,0,0,200,0,0,0,vulkan_gpu_measurements
40,gpu-clustered,8.67692,0,0.303292,0.080542,0.168458,0.054292,0.006666,0.006666,vulkan-query-pool,100,96,96,3456,128,442368,0,0,0,0,0,0,0,0,0,8.97278e-05,40.4707,0.968577,0.913725,1.30462e-05,135,96,0,917004,0,0,200,0,0,0,vulkan_gpu_measurements
41,gpu-clustered,8.23171,0,0.292041,0.066791,0.1705,0.05475,0.008167,0.008167,vulkan-query-pool,100,96,96,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000117414,39.3028,0.961074,0.988235,2.76857e-05,135,96,8,917004,0,0,278,0,8,0,vulkan_gpu_measurements
42,gpu-clustered,11.2507,0,0.7125,0.358792,0.156792,0.196916,0.004333,0.004333,vulkan-query-pool,100,104,104,3456,128,442368,0,0,0,0,0,0,0,0,0,6.41936e-05,41.9251,0.980359,0.988235,5.32199e-05,135,104,0,1046468,129464,14.1815,200,0,0,0,vulkan_gpu_measurements
43,gpu-clustered,6.13892,0,0.331583,0.076667,0.073083,0.181833,0.00425,0.00425,vulkan-query-pool,100,104,104,3456,128,442368,0,0,0,0,0,0,0,0,0,6.02466e-05,42.2007,0.979634,0.972549,3.94704e-06,135,104,0,1046468,0,0,216,0,0,0,vulkan_gpu_measurements
44,gpu-clustered,7.53871,0,0.292583,0.076458,0.16125,0.054875,0.012917,0.012917,vulkan-query-pool,100,104,104,3456,128,442368,0,0,0,0,0,0,0,0,0,6.18993e-05,42.0831,0.977896,0.972549,1.65272e-06,135,104,0,1046468,0,0,216,0,0,0,vulkan_gpu_measurements
45,gpu-clustered,8.11204,0,0.314625,0.072334,0.186291,0.056,0.004167,0.004167,vulkan-query-pool,100,104,104,3456,128,442368,0,0,0,0,0,0,0,0,0,6.51587e-05,41.8603,0.976016,0.972549,3.25941e-06,135,104,0,1046468,0,0,216,0,0,0,vulkan_gpu_measurements
46,gpu-clustered,8.75304,0,0.307167,0.080375,0.172583,0.054209,0.011083,0.011083,vulkan-query-pool,100,104,104,3456,128,442368,0,0,0,0,0,0,0,0,0,6.61419e-05,41.7952,0.975419,0.972549,9.83196e-07,135,104,0,1046468,0,0,216,0,0,0,vulkan_gpu_measurements
47,gpu-clustered,8.148,0,0.291666,0.071666,0.167542,0.052458,0.011083,0.011083,vulkan-query-pool,100,104,104,3456,128,442368,0,0,0,0,0,0,0,0,0,6.86742e-05,41.6321,0.973782,0.988235,2.53228e-06,135,104,8,1046468,0,0,278,0,8,0,vulkan_gpu_measurements
48,gpu-clustered,12.2562,0,0.424375,0.088416,0.114167,0.221792,0.00425,0.00425,vulkan-query-pool,100,112,112,3456,128,442368,0,0,0,0,0,0,0,0,0,5.49178e-05,42.6029,0.979092,0.988235,1.37564e-05,135,112,0,1157436,110968,14.649,216,0,0,0,vulkan_gpu_measurements
49,gpu-clustered,5.66263,0,0.322125,0.085834,0.1825,0.053791,0.004083,0.004083,vulkan-query-pool,100,112,112,3456,128,442368,0,0,0,0,0,0,0,0,0,6.16799e-05,42.0986,0.975976,0.988235,6.76207e-06,135,112,0,1157436,0,0,232,0,0,0,vulkan_gpu_measurements
50,gpu-clustered,7.13187,0,0.299875,0.079667,0.165667,0.054541,0.008709,0.008709,vulkan-query-pool,100,112,112,3456,128,442368,0,0,0,0,0,0,0,0,0,5.8464e-05,42.3311,0.976753,0.988235,3.21593e-06,135,112,0,1157436,0,0,232,0,0,0,vulkan_gpu_measurements
51,gpu-clustered,8.34046,0,0.294166,0.068625,0.171708,0.053833,0.006708,0.006708,vulkan-query-pool,100,112,112,3456,128,442368,0,0,0,0,0,0,0,0,0,5.59228e-05,42.5241,0.977888,0.988235,2.5412e-06,135,112,0,1157436,0,0,232,0,0,0,vulkan_gpu_measurements
52,gpu-clustered,8.14342,0,0.297834,0.082917,0.159417,0.0555,0.00475,0.00475,vulkan-query-pool,100,112,112,3456,128,442368,0,0,0,0,0,0,0,0,0,5.50132e-05,42.5953,0.978716,0.988235,9.09528e-07,135,112,0,1157436,0,0,232,0,0,0,vulkan_gpu_measurements
53,gpu-clustered,8.35458,0,0.293958,0.064166,0.174667,0.055125,0.005042,0.005042,vulkan-query-pool,100,112,112,3456,128,442368,0,0,0,0,0,0,0,0,0,4.92753e-05,43.0737,0.982113,0.988235,5.73791e-06,135,112,8,1157436,0,0,278,0,8,0,vulkan_gpu_measurements
54,gpu-clustered,11.2809,0,0.471166,0.052958,0.197708,0.2205,0.004333,0.004333,vulkan-query-pool,100,120,120,3456,128,442368,0,0,0,0,0,0,0,0,0,2.72767e-05,45.6421,0.99094,0.988235,2.19986e-05,135,120,0,1300888,143452,12.8042,232,0,0,0,vulkan_gpu_measurements
55,gpu-clustered,7.102,0,0.267667,0.1435,0.073334,0.050833,0.004125,0.004125,vulkan-query-pool,100,120,120,3456,128,442368,0,0,0,0,0,0,0,0,0,2.53243e-05,45.9646,0.991176,0.780392,1.95235e-06,135,120,0,1300888,0,0,248,0,0,0,vulkan_gpu_measurements
56,gpu-clustered,7.17404,0,0.452292,0.078708,0.108625,0.264959,0.006084,0.006084,vulkan-query-pool,100,120,120,3456,128,442368,0,0,0,0,0,0,0,0,0,2.36508e-05,46.2615,0.991053,0.376471,1.6735e-06,135,120,0,1300888,0,0,248,0,0,0,vulkan_gpu_measurements
57,gpu-clustered,7.712,0,0.294875,0.082125,0.157333,0.055417,0.004125,0.004125,vulkan-query-pool,100,120,120,3456,128,442368,0,0,0,0,0,0,0,0,0,2.3275e-05,46.3311,0.991244,0.290196,3.7579e-07,135,120,0,1300888,0,0,248,0,0,0,vulkan_gpu_measurements
58,gpu-clustered,8.19517,0,0.299417,0.085458,0.1575,0.056459,0.005917,0.005917,vulkan-query-pool,100,120,120,3456,128,442368,0,0,0,0,0,0,0,0,0,2.32026e-05,46.3446,0.991606,0.270588,7.24214e-08,135,120,0,1300888,0,0,248,0,0,0,vulkan_gpu_measurements
59,gpu-clustered,8.30104,0,0.331667,0.085417,0.18925,0.057,0.004125,0.004125,vulkan-query-pool,100,120,120,3456,128,442368,0,0,0,0,0,0,0,0,0,2.34383e-05,46.3007,0.991664,0.27451,2.35731e-07,135,120,8,1300888,0,0,278,0,8,0,vulkan_gpu_measurements
