frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,offscreenMaxError,offscreenTemporalError,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
21,beacon,14.897,0.129334,0,0,0,0,0,0,cpu-fallback,100,65,65,179,25,147456,179,0,0,1800,99,1.06481,0,0,0,0.000938308,30.2765,0.75694,0.988235,2.1831e-07,123,66,0,246956,0,0,96,0,0,0,vulkan_cpu_measurements
22,beacon,15.8633,0.122959,0,0,0,0,0,0,cpu-fallback,100,65,65,179,25,147456,179,0,0,1809,109,1.16676,0,0,0,0.000976503,30.1033,0.74678,0.988235,3.81948e-05,123,66,0,246956,0,0,96,0,0,0,vulkan_cpu_measurements
23,beacon,15.2577,0.133333,0,0,0,0,0,0,cpu-fallback,100,65,65,179,25,147456,179,0,0,1810,111,1.19376,0,0,0,0.00103585,29.847,0.728774,0.988235,5.93437e-05,123,66,5,246956,0,0,162,0,5,0,vulkan_cpu_measurements
24,beacon,17.413,0.116458,0,0,0,0,0,0,cpu-fallback,100,70,70,179,25,147456,179,0,0,1809,114,1.22839,0,0,0,0.000944953,30.2459,0.736918,0.988235,9.08937e-05,123,71,0,257308,10352,17.7753,96,0,0,0,vulkan_cpu_measurements
25,beacon,15.6558,0.126667,0,0,0,0,0,0,cpu-fallback,100,70,70,179,25,147456,179,0,0,1802,122,1.31108,0,0,0,0.00104079,29.8264,0.708208,0.988235,9.58368e-05,123,71,0,257308,0,0,101,0,0,0,vulkan_cpu_measurements
26,beacon,15.6952,0.118042,0,0,0,0,0,0,cpu-fallback,100,70,70,179,26,147456,179,0,0,1796,130,1.3984,0,0,0,0.00103423,29.8538,0.701849,0.988235,6.55508e-06,123,71,0,257308,0,0,101,0,0,0,vulkan_cpu_measurements
27,beacon,15.9731,0.129875,0,0,0,0,0,0,cpu-fallback,100,70,70,179,26,147456,179,0,0,1792,141,1.48711,0,0,0,0.00097499,30.11,0.712622,0.988235,5.92445e-05,123,71,0,257308,0,0,101,0,0,0,vulkan_cpu_measurements
28,beacon,14.4262,0.125167,0,0,0,0,0,0,cpu-fallback,100,70,70,179,26,147456,179,0,0,1795,141,1.49977,0,0,0,0.000897662,30.4689,0.729145,0.988235,7.73281e-05,123,71,0,257308,0,0,101,0,0,0,vulkan_cpu_measurements
29,beacon,14.6742,0.146958,0,0,0,0,0,0,cpu-fallback,100,69,69,179,26,147456,179,0,0,1806,142,1.51991,0,0,0,0.00085404,30.6852,0.73845,0.988235,4.36219e-05,122,71,5,257308,0,0,161,0,5,0,vulkan_cpu_measurements
30,beacon,19.0667,0.140084,0,0,0,0,0,0,cpu-fallback,100,74,74,179,25,147456,179,0,0,1806,143,1.55891,0,0,0,0.00071943,31.4301,0.784389,0.988235,0.00013461,122,76,0,286428,29120,18.1136,100,0,0,0,vulkan_cpu_measurements
31,beacon,22.5897,0.131583,0,0,0,0,0,0,cpu-fallback,100,74,74,179,25,147456,179,0,0,1812,142,1.54207,0,0,0,0.00070054,31.5457,0.788127,0.988235,1.88904e-05,122,76,0,286428,0,0,106,0,0,0,vulkan_cpu_measurements
32,beacon,15.7851,0.126958,0,0,0,0,0,0,cpu-fallback,100,74,74,179,25,147456,179,0,0,1803,144,1.57548,0,0,0,0.000697794,31.5627,0.792512,0.972549,2.74565e-06,122,76,0,286428,0,0,106,0,0,0,vulkan_cpu_measurements
33,beacon,15.1713,0.122667,0,0,0,0,0,0,cpu-fallback,100,74,74,179,25,147456,179,0,0,1801,145,1.57038,0,0,0,0.000696919,31.5682,0.797562,0.988235,8.7522e-07,122,76,0,286428,0,0,106,0,0,0,vulkan_cpu_measurements
34,beacon,14.3634,0.128083,0,0,0,0,0,0,cpu-fallback,100,74,74,179,25,147456,179,0,0,1795,148,1.60779,0,0,0,0.000713321,31.4671,0.798627,0.988235,1.64024e-05,122,76,0,286428,0,0,106,0,0,0,vulkan_cpu_measurements
35,beacon,14.9524,0.152083,0,0,0,0,0,0,cpu-fallback,100,74,74,179,26,147456,179,0,0,1790,152,1.63535,0,0,0,0.000711104,31.4807,0.80305,0.988235,2.21772e-06,122,76,5,286428,0,0,161,0,5,0,vulkan_cpu_measurements
