frame,technique,cpuFrameMs,cpuClusterBuildMs,gpuClusterBuildMs,gpuClusterCountMs,gpuClusterScanMs,gpuClusterScatterMs,gpuLightingPassMs,gpuObjectPassMs,timingSource,activeLights,drawCalls,visibleObjects,activeClusters,maxLightsPerCluster,lightIndexCapacity,explicitClusters,bitsetClusters,overflowCount,evaluatedLightSamples,prunedLightSamples,predictedErrorBound,splitCount,mergeCount,clusterChurn,offscreenMse,offscreenPsnr,offscreenSsim,offscreenMaxError,offscreenTemporalError,geoVisibleTiles,geoResidentTiles,geoRequestedTiles,geoResidentBytes,geoUploadedBytes,geoStreamingP95Ms,geoSemanticUtility,geoSemanticWeightedError,geoRepresentationChurn,geoBudgetViolation,measurementGroup
18,gpu-clustered,18.8532,0,0,0,0,0,0,0,cpu-fallback,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,0.00028323,35.4786,0.892439,0.976471,0.000130923,135,72,0,418312,53292,17.8828,97,0,0,0,vulkan_cpu_measurements
19,gpu-clustered,14.581,0,0,0,0,0,0,0,cpu-fallback,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000253852,35.9542,0.903149,0.92549,2.93789e-05,135,72,0,418312,0,0,107,0,0,0,vulkan_cpu_measurements
20,gpu-clustered,14.928,0,0,0,0,0,0,0,cpu-fallback,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000242776,36.1479,0.906979,0.988235,1.10752e-05,135,72,0,418312,0,0,107,0,0,0,vulkan_cpu_measurements
21,gpu-clustered,14.3938,0,0,0,0,0,0,0,cpu-fallback,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000239823,36.2011,0.908027,0.988235,2.95328e-06,135,72,0,418312,0,0,107,0,0,0,vulkan_cpu_measurements
22,gpu-clustered,15.0122,0,0,0,0,0,0,0,cpu-fallback,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000230782,36.368,0.910415,0.988235,9.04135e-06,135,72,0,418312,0,0,107,0,0,0,vulkan_cpu_measurements
23,gpu-clustered,13.876,0,0,0,0,0,0,0,cpu-fallback,100,72,72,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000235411,36.2817,0.907917,0.956863,4.62898e-06,135,72,8,418312,0,0,175,0,8,0,vulkan_cpu_measurements
24,gpu-clustered,19.2037,0,0,0,0,0,0,0,cpu-fallback,100,80,80,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000224389,36.49,0.912252,0.956863,1.10222e-05,135,80,0,446936,28624,18.6298,107,0,0,0,vulkan_cpu_measurements
25,gpu-clustered,14.4084,0,0,0,0,0,0,0,cpu-fallback,100,80,80,3456,128,442368,0,0,0,0,0,0,0,0,0,0.00023204,36.3444,0.908483,0.94902,7.65162e-06,135,80,0,446936,0,0,116,0,0,0,vulkan_cpu_measurements
26,gpu-clustered,14.4562,0,0,0,0,0,0,0,cpu-fallback,100,80,80,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000218823,36.5991,0.915735,0.933333,1.3217e-05,135,80,0,446936,0,0,116,0,0,0,vulkan_cpu_measurements
27,gpu-clustered,14.2737,0,0,0,0,0,0,0,cpu-fallback,100,80,80,3456,128,442368,0,0,0,0,0,0,0,0,0,0.000223006,36.5168,0.915398,0.956863,4.18291e-06,135,80,0,446936,0,0,116,0,0,0,vulkan_cpu_measurements
